GLBRC 2011 Series 1,,,,,,,,,,,,,,,,,
"time entered by:  LC, AO",,,,,,,,,,,,,,,,,
time checked by: DC,,,,,,,,,,,,,,,,,
sample date:  4/7/2011,,,,,,,,,,,,,,,,,
,,,,,,,Box,Box,Box,Box,,,,,,,
G,Block,T0-T3,Microplots,Chamber #,Vial #,Lid Type,Ht (cm),Ht (cm),Ht (cm),Ht (cm),Soil temp,Hours,Minutes,Seconds,Time ,Actual time,Notes
G8,3,0,,1,89,Y,18.5,19.5,19,20,4,0,5,30,5.5,0.0,-
G8,3,1,,1,90,Y,18.5,19.5,19,20,4,0,23,30,23.5,18.0,-
G8,3,2,,1,91,Y,18.5,19.5,19,20,4,0,41,30,41.5,36.0,-
G8,3,3,,1,92,Y,18.5,19.5,19,20,4,0,59,30,59.5,54.0,-
G6,3,0,,1,93,Y,16,16.5,18,20,5,0,8,15,8.3,0.0,-
G6,3,1,,1,94,Y,16,16.5,18,20,5,0,26,15,26.3,18.0,-
G6,3,2,,1,95,Y,16,16.5,18,20,5,0,44,15,44.3,36.0,-
G6,3,3,,1,96,Y,16,16.5,18,20,5,1,2,15,62.3,54.0,-
G4,3,0,,1,97,Y,17,18,19,20,4,0,10,23,10.4,0.0,-
G4,3,1,,1,98,Y,17,18,19,20,4,0,28,23,28.4,18.0,-
G4,3,2,,1,99,Y,17,18,19,20,4,0,46,23,46.4,36.0,-
G4,3,3,,1,100,Y,17,18,19,20,4,1,4,23,64.4,54.0,-
G5,3,0,,1,101,Y,16.5,18,18,19,5,0,0,0,0.0,0.0,-
G5,3,1,,1,102,Y,16.5,18,18,19,5,0,18,0,18.0,18.0,-
G5,3,2,,1,103,Y,16.5,18,18,19,5,0,36,0,36.0,36.0,-
G5,3,3,,1,104,Y,16.5,18,18,19,5,0,54,0,54.0,54.0,-
G7,3,0,,1,105,Y,18,19,19,19,5,0,2,11,2.2,0.0,-
G7,3,1,,1,106,Y,18,19,19,19,5,0,20,12,20.2,18.0,-
G7,3,2,,1,107,Y,18,19,19,19,5,0,38,11,38.2,36.0,-
G7,3,3,,1,108,Y,18,19,19,19,5,0,56,11,56.2,54.0,-
G1,3,0,,1,109,Y,17.5,18,18,18,4,0,3,48,3.8,0.0,-
G1,3,1,,1,110,Y,17.5,18,18,18,4,0,21,48,21.8,18.0,-
G1,3,2,,1,111,Y,17.5,18,18,18,4,0,39,48,39.8,36.0,-
G1,3,3,,1,112,Y,17.5,18,18,18,4,0,57,48,57.8,54.0,-
G10,3,0,,1,113,Y,18.5,18.5,19,19,4,0,5,59,6.0,0.0,-
G10,3,1,,1,114,Y,18.5,18.5,19,19,4,0,23,59,24.0,18.0,-
G10,3,2,,1,115,Y,18.5,18.5,19,19,4,0,41,59,42.0,36.0,-
G10,3,3,,1,116,Y,18.5,18.5,19,19,4,0,59,59,60.0,54.0,-
G3,3,0,,1,117,Y,18,19,19,19.5,4,0,7,57,8.0,0.0,-
G3,3,1,,1,118,Y,18,19,19,19.5,4,0,25,57,26.0,18.0,-
G3,3,2,,1,119,Y,18,19,19,19.5,4,0,43,57,44.0,36.0,-
G3,3,3,,1,120,Y,18,19,19,19.5,4,1,1,57,62.0,54.0,-
G9,4,0,,1,121,Y,17,17,18,16,6,0,0,0,0.0,0.0,-
G9,4,1,,1,122,Y,17,17,18,16,6,0,18,0,18.0,18.0,-
G9,4,2,,1,123,Y,17,17,18,16,6,0,35,59,36.0,36.0,-
G9,4,3,,1,124,Y,17,17,18,16,6,0,53,48,53.8,53.8,-
G2,4,0,,1,125,Y,18,17.5,19,18.5,5,0,2,43,2.7,0.0,-
G2,4,1,,1,126,Y,18,17.5,19,18.5,5,0,20,45,20.8,18.0,-
G2,4,2,,1,127,Y,18,17.5,19,18.5,5,0,38,11,38.2,35.5,-
G2,4,3,,1,128,Y,18,17.5,19,18.5,5,0,55,49,55.8,53.1,-
